cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
CAN,2021,Other High Income Countries,OHI,Canada,CAN,2019,national,,,,income,,,2.218,0.0025,7e-04,2e-04,8e-04,65.7328,56.113,,,,,,,,,,,,,,,1.2867,37601230,45113.0663,26398.3959,FALSE,micro,survey
CHE,2021,Other High Income Countries,OHI,Switzerland,CHE,2019,national,,,,income,,,2.239,3e-04,2e-04,2e-04,4e-04,77.4839,64.6636,,,,,,,,,,,,,,,1.3586,8575280,87123.6604,44823.3901,TRUE,micro,extrapolation
CHI,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,2021,Latin America & Caribbean,LAC,Chile,CHL,2019,national,,,,income,,,1.967,0.0054,0.0032,0.0026,0.0027,27.0133,18.1061,,,,,,,,,,,,,,,478.9957,19039485,13761.3745,8799.0632,TRUE,micro,interpolation
CHN-R,2021,East Asia & Pacific,EAP,China,CHN,2019,rural,,,,consumption,,,1.956,0.0016,4e-04,2e-04,4e-04,9.9159,8.0993,,,,,,,,,,,,,,,3.495,558762145,10155.5114,4083.1129,FALSE,aggregate,survey
CHN-U,2021,East Asia & Pacific,EAP,China,CHN,2019,urban,,,,consumption,,,1.956,4e-04,1e-04,1e-04,1e-04,16.9772,13.3395,,,,,,,,,,,,,,,4.3185,848982855,10155.5114,4083.1129,FALSE,aggregate,survey
CIV,2021,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2019,national,,,,consumption,,,2.107,0.1004,0.0207,0.0067,0.0256,5.7669,4.4315,,,,,,,,,,,,,,,247.1344,26147551,2252.5433,1428.7855,TRUE,micro,extrapolation
CMR,2021,Sub-Saharan Africa,SSA,Cameroon,CMR,2019,national,,,,consumption,,,2.168,0.2349,0.0742,0.0329,0.1014,6.1216,4.1384,,,,,,,,,,,,,,,236.9115,25782341,1454.5641,1070.3983,TRUE,micro,extrapolation
COD,2021,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2019,national,,,,consumption,,,2.224,0.6484,0.2868,0.1608,0.4458,2.3365,1.6835,,,,,,,,,,,,,,,630.6055,89906890,494.8192,362.7961,TRUE,micro,extrapolation
COG,2021,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2019,national,,,,consumption,,,2.23,0.5187,0.2299,0.1317,0.3626,3.2916,2.1366,,,,,,,,,,,,,,,285.9693,5570733,1731.7999,758.3223,TRUE,micro,extrapolation
COL,2021,Latin America & Caribbean,LAC,Colombia,COL,2019,national,,,,income,,,2.026,0.048,0.0187,0.0113,0.0236,15.5424,9.6152,,,,,,,,,,,,,,,1419.3743,50187406,6404.1088,4460.1382,FALSE,micro,survey
COM,2021,Sub-Saharan Africa,SSA,Comoros,COM,2019,national,,,,consumption,,,2.13,0.1787,0.0616,0.0291,0.0871,6.6409,4.5375,,,,,,,,,,,,,,,213.5182,790986,1381.6222,1302.6061,TRUE,micro,extrapolation
CPV,2021,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2019,national,,,,consumption,,,2.659,0.0567,0.0121,0.0041,0.0151,11.0674,7.8351,,,,,,,,,,,,,,,47.6121,577030,3690.6565,2430.3797,TRUE,micro,extrapolation
CRI,2021,Latin America & Caribbean,LAC,Costa Rica,CRI,2019,national,,,,income,,,2.342,0.0124,0.0048,0.0028,0.0057,25.5309,16.2318,,,,,,,,,,,,,,,372.6693,5084532,12662.4229,8185.9077,FALSE,micro,survey
CUB,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,2021,Other High Income Countries,OHI,Cyprus,CYP,2019,national,,,,income,,,2.254,0.0015,0.0015,0.0015,0,51.5746,43.1973,,,,,,,,,,,,,,,0.6682,1228836,28360.0312,18283.6816,FALSE,micro,survey
CZE,2021,Europe & Central Asia,ECA,Czech Republic,CZE,2019,national,,,,income,,,2.192,0,0,0,0,39.3665,34.5639,,,,,,,,,,,,,,,13.6514,10671870,20206.4256,9536.6521,FALSE,micro,survey
DEU,2021,Other High Income Countries,OHI,Germany,DEU,2019,national,,,,income,,,2.272,0,0,0,0,65.8802,55.5203,,,,,,,,,,,,,,,0.7872,83092962,43284.6025,22938.5767,FALSE,micro,survey
DJI,2021,Middle East & North Africa,MNA,Djibouti,DJI,2019,national,,,,consumption,,,1.929,0.1474,0.0475,0.0227,0.0689,5.6307,4.2254,,,,,,,,,,,,,,,104.7365,1073994,2820.0629,1827.1634,TRUE,micro,extrapolation
DMA,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,2021,Other High Income Countries,OHI,Denmark,DNK,2019,national,,,,income,,,2.108,0.0025,0.0021,0.0019,0.0041,62.7364,54.0781,,,,,,,,,,,,,,,7.891,5814422,57203.0278,27010.256,FALSE,micro,survey
DOM,2021,Latin America & Caribbean,LAC,Dominican Republic,DOM,2019,national,,,,income,,,2.133,0.0083,0.0023,0.0012,0.002,16.4693,11.8024,,,,,,,,,,,,,,,24.3906,10881882,8205.1426,5673.9275,FALSE,micro,survey
DZA,2021,Middle East & North Africa,MNA,Algeria,DZA,2019,national,,,,consumption,,,2.206,0.0035,0.0013,0.0011,0.001,10.3991,9.0641,,,,,,,,,,,,,,,38.2097,42705368,4153.0034,1764.5954,TRUE,group,extrapolation
ECU,2021,Latin America & Caribbean,LAC,Ecuador,ECU,2019,national,,,,income,,,2.181,0.0368,0.0113,0.0051,0.0152,15.3802,10.6785,,,,,,,,,,,,,,,0.5745,17343740,5863.9106,3644.6061,FALSE,micro,survey
EGY,2021,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2019,national,,,,consumption,,,1.951,0.0116,0.0019,6e-04,0.0024,6.5445,5.2538,,,,,,,,,,,,,,,4.8435,105618671,3802.41,2958.1693,TRUE,micro,interpolation
ERI,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2021,Other High Income Countries,OHI,Spain,ESP,2019,national,,,,income,,,2.326,0.0086,0.0058,0.0048,0.0085,46.8662,40.2915,,,,,,,,,,,,,,,0.7029,47134837,28087.8979,16133.6231,FALSE,micro,survey
EST,2021,Europe & Central Asia,ECA,Estonia,EST,2019,national,,,,income,,,2.048,0.0048,0.0032,0.0028,0.0076,41.0067,34.645,,,,,,,,,,,,,,,0.5964,1326898,20269.5751,10398.8172,FALSE,micro,survey
ETH,2021,Sub-Saharan Africa,SSA,Ethiopia,ETH,2019,national,,,,consumption,,,1.924,0.1384,0.0361,0.0131,0.0458,4.4437,3.6389,,,,,,,,,,,,,,,8.4964,114120594,797.8853,544.9121,TRUE,micro,extrapolation
FIN,2021,Other High Income Countries,OHI,Finland,FIN,2019,national,,,,income,,,2.164,4e-04,4e-04,4e-04,1.0923e-06,58.8479,51.2622,,,,,,,,,,,,,,,0.9333,5521606,46135.8814,24465.0783,FALSE,micro,survey
FJI,2021,East Asia & Pacific,EAP,Fiji,FJI,2019,national,,,,consumption,,,2.661,0.0329,0.0052,0.0013,0.0061,8.2387,6.8939,,,,,,,,,,,,,,,0.9859,918465,5678.9699,,TRUE,micro,interpolation
FRA,2021,Other High Income Countries,OHI,France,FRA,2019,national,,,,income,,,2.202,5e-04,2e-04,1e-04,3e-04,56.189,48.5685,,,,,,,,,,,,,,,0.8354,67388001,38832.0242,20764.6107,FALSE,micro,survey
FRO,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,2021,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2019,national,,,,consumption,,,2.253,0.1603,0.0592,0.0316,0.0926,5.8221,4.428,,,,,,,,,,,,,,,0.9772,111379,2967.0022,,TRUE,micro,extrapolation
GAB,2021,Sub-Saharan Africa,SSA,Gabon,GAB,2019,national,,,,consumption,,,2.323,0.0312,0.0075,0.003,0.01,12.3368,9.6731,,,,,,,,,,,,,,,319.1603,2242785,6893.3231,2506.3412,TRUE,micro,extrapolation
GBR,2021,Other High Income Countries,OHI,United Kingdom,GBR,2019,national,,,,income,,,2.337,0.005,0.0027,0.0024,0.0087,55.1567,47.0616,,,,,,,,,,,,,,,0.7797,66836327,47491.5946,30920.5374,FALSE,micro,survey
GEO,2021,Europe & Central Asia,ECA,Georgia,GEO,2019,national,,,,consumption,,,1.722,0.0243,0.0052,0.0018,0.0067,7.9745,6.4294,,,,,,,,,,,,,,,0.9247,3720161,4773.3357,3532.3452,FALSE,micro,survey
GHA,2021,Sub-Saharan Africa,SSA,Ghana,GHA,2019,national,,,,consumption,,,2.244,0.2337,0.0854,0.0444,0.1301,5.595,4.1094,,,,,,,,,,,,,,,1.751,31522290,1981.6139,1383.7097,TRUE,micro,extrapolation
GIB,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,2021,Sub-Saharan Africa,SSA,Guinea,GIN,2019,national,,,,consumption,,,2.091,0.123,0.0265,0.0088,0.0331,4.4625,3.8585,,,,,,,,,,,,,,,3446.9322,12877539,937.7031,718.613,TRUE,micro,extrapolation
GMB,2021,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2019,national,,,,consumption,,,2.207,0.1611,0.0412,0.0159,0.0534,5.2721,3.99,,,,,,,,,,,,,,,15.1142,2508883,668.6351,563.8173,TRUE,micro,interpolation
GNB,2021,Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2019,national,,,,consumption,,,2.21,0.2249,0.0498,0.0162,0.0612,4.2559,3.3527,,,,,,,,,,,,,,,232.1995,1970457,633.7257,516.7659,TRUE,micro,extrapolation
GNQ,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,2021,Other High Income Countries,OHI,Greece,GRC,2019,national,,,,income,,,2.186,0.0072,0.0042,0.0035,0.0049,28.48,24.6129,,,,,,,,,,,,,,,0.6463,10721582,19018.9021,13165.8536,FALSE,micro,survey
GRD,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,2021,Latin America & Caribbean,LAC,Guatemala,GTM,2019,national,,,,income,,,2.076,0.0624,0.0184,0.0084,0.0253,10.6186,6.9692,,,,,,,,,,,,,,,4.4033,16604026,4263.7084,3680.3284,TRUE,micro,extrapolation
GUM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,2021,Latin America & Caribbean,LAC,Guyana,GUY,2019,national,,,,income,,,1.335,0.0402,0.0282,0.0235,0.0735,14.1933,10.2422,,,,,,,,,,,,,,,115.6263,798753,6348.6981,,TRUE,micro,extrapolation
HKG,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,2021,Latin America & Caribbean,LAC,Honduras,HND,2019,national,,,,income,,,2.056,0.113,0.0395,0.0199,0.0549,10.1239,6.9277,,,,,,,,,,,,,,,10.8388,9958829,2446.1081,1973.4915,FALSE,micro,survey
HRV,2021,Europe & Central Asia,ECA,Croatia,HRV,2019,national,,,,income,,,1.966,0.0023,0.0016,0.0012,0.0013,29.0816,26.1209,,,,,,,,,,,,,,,3.8147,4065253,14211.7554,8305.2544,FALSE,micro,survey
HTI,2021,Latin America & Caribbean,LAC,Haiti,HTI,2019,national,,,,consumption,,,2.271,0.2709,0.0909,0.0423,0.128,4.7284,3.5677,,,,,,,,,,,,,,,31.1029,11160438,1371.707,1441.4871,TRUE,micro,extrapolation
HUN,2021,Europe & Central Asia,ECA,Hungary,HUN,2019,national,,,,income,,,2.067,0.003,0.0012,6e-04,0.0018,28.2687,24.7641,,,,,,,,,,,,,,,147.3767,9771141,15083.5992,7623.8063,FALSE,micro,survey
IDN-R,2021,East Asia & Pacific,EAP,Indonesia,IDN,2019,rural,,,,consumption,,,2.199,0.066,0.0092,0.002,0.0104,5.824,4.8255,,,,,,,,,,,,,,,4746.8516,118656904,3892.4217,2236.778,FALSE,micro,survey
IDN-U,2021,East Asia & Pacific,EAP,Indonesia,IDN,2019,urban,,,,consumption,,,2.199,0.0359,0.0047,9e-04,0.0052,8.5269,6.3138,,,,,,,,,,,,,,,5098.1961,150925974,3892.4217,2236.778,FALSE,micro,survey
IMN,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND-R,2021,South Asia,SAS,India,IND,2019,rural,,,,consumption,,,2.076,0.1095,0.0197,0.0055,0.0234,4.5196,3.6505,,,,,,,,,,,,,,,17.092,906325664,1931.0207,1149.6868,TRUE,imputed,interpolation
IND-U,2021,South Asia,SAS,India,IND,2019,urban,,,,consumption,,,2.076,0.0894,0.0187,0.0061,0.023,6.0371,4.6556,,,,,,,,,,,,,,,20.7873,476786386,1931.0207,1149.6868,TRUE,imputed,interpolation
IRL,2021,Other High Income Countries,OHI,Ireland,IRL,2019,national,,,,income,,,2.377,6e-04,3e-04,2e-04,5e-04,55.8337,46.4123,,,,,,,,,,,,,,,0.9707,4934340,75239.3029,22186.4542,FALSE,micro,survey
IRN,2021,Middle East & North Africa,MNA,"Iran, Islamic Rep.",IRN,2019,national,,,,consumption,,,2.09,0.0087,0.0017,6e-04,0.0022,14.5719,10.5939,,,,,,,,,,,,,,,13944.9043,86564202,5059.8794,2530.2857,TRUE,micro,interpolation
IRQ,2021,Middle East & North Africa,MNA,Iraq,IRQ,2019,national,,,,consumption,,,2.091,2e-04,0,7.4994e-06,0,12.5802,10.7027,,,,,,,,,,,,,,,586.4968,41563520,4854.3865,,TRUE,micro,extrapolation
ISL,2021,Other High Income Countries,OHI,Iceland,ISL,2019,national,,,,income,,,2.147,0,0,0,0,63.9718,57.4161,,,,,,,,,,,,,,,155.6479,360563,57461.802,29667.6889,TRUE,micro,extrapolation
ISR,2021,Other High Income Countries,OHI,Israel,ISR,2019,national,,,,income,,,2.173,0.005,0.0016,0.0011,0.0027,41.8123,34.2144,,,,,,,,,,,,,,,4.2066,9054000,39591.3688,21076.2633,TRUE,micro,extrapolation
ITA,2021,Other High Income Countries,OHI,Italy,ITA,2019,national,,,,income,,,2.268,0.01,0.0084,0.0077,0.0085,49.8979,42.6229,,,,,,,,,,,,,,,0.7672,59729081,32114.2999,19429.6139,FALSE,micro,survey
JAM,2021,Latin America & Caribbean,LAC,Jamaica,JAM,2019,national,,,,consumption,,,2.417,0.017,0.0037,0.0012,0.0046,15.4071,10.0807,,,,,,,,,,,,,,,70.3916,2813773,5307.511,4214.8787,TRUE,micro,extrapolation
JOR,2021,Middle East & North Africa,MNA,Jordan,JOR,2019,national,,,,consumption,,,2.17,0.001,2e-04,1e-04,2e-04,13.5932,10.7561,,,,,,,,,,,,,,,0.3292,10698683,3909.25,,TRUE,micro,extrapolation
JPN,2021,Other High Income Countries,OHI,Japan,JPN,2019,national,,,,income,,,2.229,0.0073,0.0022,9e-04,0.0029,49.628,41.1911,,,,,,,,,,,,,,,113.0232,126633000,36043.7844,19619.9766,TRUE,micro,extrapolation
KAZ,2021,Europe & Central Asia,ECA,Kazakhstan,KAZ,2019,national,,,,consumption,,,2.18,2e-04,0,2.998e-06,0,13.0132,10.9095,,,,,,,,,,,,,,,125.2634,18513673,11402.7584,6188.6384,TRUE,micro,extrapolation
KEN,2021,Sub-Saharan Africa,SSA,Kenya,KEN,2019,national,,,,consumption,,,2.139,0.3123,0.0853,0.0338,0.1119,3.8274,2.8933,,,,,,,,,,,,,,,41.6348,50951450,1653.829,1252.9846,TRUE,micro,interpolation
KGZ,2021,Europe & Central Asia,ECA,Kyrgyz Republic,KGZ,2019,national,,,,consumption,,,2.01,0.0048,0.0013,8e-04,0.0024,7.0922,5.8372,,,,,,,,,,,,,,,19.3727,6456200,1226.8243,1046.9191,FALSE,micro,survey
KHM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,2021,East Asia & Pacific,EAP,Kiribati,KIR,2019,national,,,,consumption,,,2.065,0.0148,0.0026,7e-04,0.0031,6.2648,5.3335,,,,,,,,,,,,,,,0.981,124241,1405.4692,1327.3395,TRUE,micro,interpolation
KNA,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2021,Other High Income Countries,OHI,"Korea, Rep.",KOR,2019,national,,,,income,,,2.177,0.0023,6e-04,1e-04,6e-04,46.2939,40.2473,,,,,,,,,,,,,,,974.2056,51764822,31640.2146,15269.1918,TRUE,micro,extrapolation
KSV,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,2021,East Asia & Pacific,EAP,Lao PDR,LAO,2019,national,,,,consumption,,,2.175,0.0696,0.0112,0.0031,0.0134,6.6662,4.8631,,,,,,,,,,,,,,,3133.8118,7212053,2564.0197,,TRUE,micro,extrapolation
LBN,2021,Middle East & North Africa,MNA,Lebanon,LBN,2019,national,,,,consumption,,,2.37,0,0,0,0,29.6548,25.157,,,,,,,,,,,,,,,761.8333,5781907,8081.7433,7478.5607,TRUE,micro,extrapolation
LBR,2021,Sub-Saharan Africa,SSA,Liberia,LBR,2019,national,,,,consumption,,,2.205,0.3164,0.0902,0.0362,0.1184,3.7053,2.9534,,,,,,,,,,,,,,,47.996,4985289,644.1621,,TRUE,micro,extrapolation
LBY,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,2021,Latin America & Caribbean,LAC,St. Lucia,LCA,2019,national,,,,income,,,2.475,0.0657,0.0306,0.0214,0.0402,20.9339,13.6152,,,,,,,,,,,,,,,2.0792,178583,11060.6889,,TRUE,micro,extrapolation
LIE,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,2021,South Asia,SAS,Sri Lanka,LKA,2019,national,,,,consumption,,,2.259,0.0127,0.0017,4e-04,0.0019,9.2485,6.913,,,,,,,,,,,,,,,55.5009,21803000,4458.4344,2776.5782,FALSE,micro,survey
LSO,2021,Sub-Saharan Africa,SSA,Lesotho,LSO,2019,national,,,,consumption,,,2.068,0.3272,0.1173,0.058,0.1702,4.4442,3.0987,,,,,,,,,,,,,,,5.244,2225702,1040.2187,835.9343,TRUE,micro,extrapolation
LTU,2021,Europe & Central Asia,ECA,Lithuania,LTU,2019,national,,,,income,,,2.045,0.0053,0.0034,0.0029,0.0027,38.3872,30.7122,,,,,,,,,,,,,,,0.4884,2794137,17249.7184,10639.5826,FALSE,micro,survey
LUX,2021,Other High Income Countries,OHI,Luxembourg,LUX,2019,national,,,,income,,,2.186,0.001,9e-04,8e-04,0.0014,84.4537,69.4506,,,,,,,,,,,,,,,0.9658,620001,106729.0249,35225.8554,FALSE,micro,survey
LVA,2021,Europe & Central Asia,ECA,Latvia,LVA,2019,national,,,,income,,,2.052,0.0024,0.0018,0.0015,0.0028,32.9305,26.9349,,,,,,,,,,,,,,,0.5538,1913822,16069.8404,9342.1888,FALSE,micro,survey
MAC,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,2021,Middle East & North Africa,MNA,Morocco,MAR,2019,national,,,,consumption,,,2.151,0.01,0.0018,5e-04,0.0021,11.3877,8.3125,,,,,,,,,,,,,,,4.2908,36304408,3355.613,1955.6167,TRUE,micro,extrapolation
MCO,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,2021,Europe & Central Asia,ECA,Moldova,MDA,2019,national,,,,consumption,,,1.943,0,0,0,0,12.1181,10.5156,,,,,,,,,,,,,,,6.3825,2664224,3439.1296,2976.7248,FALSE,micro,survey
MDG,2021,Sub-Saharan Africa,SSA,Madagascar,MDG,2019,national,,,,consumption,,,2.145,0.7868,0.4018,0.2435,0.6569,1.6895,1.1883,,,,,,,,,,,,,,,962.9596,27533134,478.927,337.9674,TRUE,micro,extrapolation
MDV,2021,South Asia,SAS,Maldives,MDV,2019,national,,,,consumption,,,2.365,0,0,0,0,22.6101,19.1262,,,,,,,,,,,,,,,9.7936,504508,10753.1213,4936.2987,TRUE,micro,interpolation
MEX,2021,Latin America & Caribbean,LAC,Mexico,MEX,2019,national,,,,income,,,2.257,0.0306,0.009,0.0043,0.0118,14.6424,9.85,,,,,,,,,,,,,,,9.8615,125085311,10013.7243,6747.1179,TRUE,micro,interpolation
MHL,2021,East Asia & Pacific,EAP,Marshall Islands,MHL,2019,national,,,,consumption,,,2.158,0.0085,0.0019,5e-04,0.0022,11.5648,9.1904,,,,,,,,,,,,,,,1.0292,44728,4998.7496,3838.3371,TRUE,micro,extrapolation
MKD,2021,Europe & Central Asia,ECA,North Macedonia,MKD,2019,national,,,,income,,,2.051,0.026,0.0101,0.0053,0.015,14.9491,13.4756,,,,,,,,,,,,,,,22.1667,2076694,5386.2027,3806.5464,FALSE,micro,survey
MLI,2021,Sub-Saharan Africa,SSA,Mali,MLI,2019,national,,,,consumption,,,2.182,0.1537,0.0313,0.0099,0.0382,4.9586,3.7931,,,,,,,,,,,,,,,205.2734,20567424,779.3266,584.8007,TRUE,micro,extrapolation
MLT,2021,Other High Income Countries,OHI,Malta,MLT,2019,national,,,,income,,,2.287,0.003,0.0015,0.0011,0.0052,54.5495,45.7108,,,,,,,,,,,,,,,0.6281,504062,28660.0277,13408.6061,FALSE,micro,survey
MMR,2021,East Asia & Pacific,EAP,Myanmar,MMR,2019,national,,,,consumption,,,2.508,0.0262,0.0041,0.0011,0.0049,7.3097,6.0783,,,,,,,,,,,,,,,389.8429,53040212,1587.4042,,TRUE,micro,extrapolation
MNE,2021,Europe & Central Asia,ECA,Montenegro,MNE,2019,national,,,,income,,,2.157,0.0256,0.0099,0.0059,0.016,17.4967,15.0708,,,,,,,,,,,,,,,0.4187,622028,7684.1804,6091.2408,TRUE,micro,extrapolation
MNG,2021,East Asia & Pacific,EAP,Mongolia,MNG,2019,national,,,,consumption,,,2.317,0.0083,0.0012,3e-04,0.0014,10.2167,8.3899,,,,,,,,,,,,,,,873.542,3232430,4385.1117,2792.8122,TRUE,micro,extrapolation
MNP,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,2021,Sub-Saharan Africa,SSA,Mozambique,MOZ,2019,national,,,,consumption,,,2.182,0.7186,0.3537,0.2138,0.5889,2.3134,1.3992,,,,,,,,,,,,,,,21.988,30285595,600.4034,394.9344,TRUE,micro,interpolation
MRT,2021,Sub-Saharan Africa,SSA,Mauritania,MRT,2019,national,,,,consumption,,,2.145,0.051,0.0115,0.004,0.0144,6.9164,5.813,,,,,,,,,,,,,,,124.4526,4383849,1670.0288,1026.8215,TRUE,micro,extrapolation
MUS,2021,Sub-Saharan Africa,SSA,Mauritius,MUS,2019,national,,,,consumption,,,2.465,0.0021,3e-04,1e-04,3e-04,17.6519,13.6099,,,,,,,,,,,,,,,18.0094,1265985,10956.945,7788.2697,TRUE,micro,extrapolation
MWI,2021,Sub-Saharan Africa,SSA,Malawi,MWI,2019,national,,,,consumption,,,2.156,0.6925,0.2867,0.1482,0.4192,2.138,1.5627,,,,,,,,,,,,,,,241.9305,18867337,573.4001,,TRUE,micro,interpolation
MYS,2021,East Asia & Pacific,EAP,Malaysia,MYS,2019,national,,,,income,,,2.255,1e-04,0,0,0,33.9062,25.0265,,,,,,,,,,,,,,,1.7269,32804020,11114.5427,6523.1009,TRUE,micro,extrapolation
NAM,2021,Sub-Saharan Africa,SSA,Namibia,NAM,2019,national,,,,consumption,,,2.188,0.1812,0.0641,0.0316,0.0922,10.8385,5.2862,,,,,,,,,,,,,,,6.8983,2446644,4596.6196,3427.6467,TRUE,micro,extrapolation
NCL,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,2021,Sub-Saharan Africa,SSA,Niger,NER,2019,national,,,,consumption,,,2.159,0.504,0.1539,0.0636,0.2037,2.876,2.1495,,,,,,,,,,,,,,,245.1597,23443393,520.9194,366.3839,TRUE,micro,extrapolation
NGA,2021,Sub-Saharan Africa,SSA,Nigeria,NGA,2019,national,,,,consumption,,,1.814,0.2203,0.0573,0.0216,0.0738,3.6535,2.9513,,,,,,,,,,,,,,,123.6724,203304492,2505.4627,1853.4945,TRUE,micro,extrapolation
NIC,2021,Latin America & Caribbean,LAC,Nicaragua,NIC,2019,national,,,,income,,,2.041,0.0314,0.0072,0.0027,0.0092,11.6882,8.0556,,,,,,,,,,,,,,,11.5284,6663924,1965.2779,1373.0625,TRUE,micro,extrapolation
NLD,2021,Other High Income Countries,OHI,Netherlands,NLD,2019,national,,,,income,,,2.241,0.001,4e-04,2e-04,7e-04,62.7148,54.417,,,,,,,,,,,,,,,0.8495,17344874,48443.7321,21162.6537,FALSE,micro,survey
NOR,2021,Other High Income Countries,OHI,Norway,NOR,2019,national,,,,income,,,2.22,0.0016,0.0014,0.0013,0.0042,74.0588,65.2839,,,,,,,,,,,,,,,10.7428,5347896,76712.2871,33268.0796,FALSE,micro,survey
NPL,2021,South Asia,SAS,Nepal,NPL,2019,national,,,,consumption,,,2.002,0.022,0.0041,0.0011,0.0048,6.6629,5.3887,,,,,,,,,,,,,,,30.5129,28832496,1041.4296,857.9172,TRUE,micro,extrapolation
NRU,2021,East Asia & Pacific,EAP,Nauru,NRU,2019,national,,,,consumption,,,2.094,0.0081,7e-04,1e-04,7e-04,7.6747,6.1818,,,,,,,,,,,,,,,1.3761,12132,8365.0554,,TRUE,micro,extrapolation
NZL,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMN,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,2021,South Asia,SAS,Pakistan,PAK,2019,national,,,,consumption,,,2.098,0.0432,0.0053,0.0011,0.0059,4.9658,4.0653,,,,,,,,,,,,,,,33.2507,223293280,1431.2744,1230.482,TRUE,micro,extrapolation
PAN,2021,Latin America & Caribbean,LAC,Panama,PAN,2019,national,,,,income,,,2.287,0.0115,0.004,0.0023,0.0047,33.496,21.8541,,,,,,,,,,,,,,,0.5081,4232532,15166.8809,,FALSE,micro,survey
PER,2021,Latin America & Caribbean,LAC,Peru,PER,2019,national,,,,income,,,2.18,0.0309,0.0081,0.0033,0.0109,13.7971,10.4066,,,,,,,,,,,,,,,1.8936,32824861,6550.4475,4311.3532,FALSE,micro,survey
PHL,2021,East Asia & Pacific,EAP,Philippines,PHL,2019,national,,,,consumption,,,2.313,0.0611,0.0109,0.0031,0.013,7.2445,5.4586,,,,,,,,,,,,,,,19.3925,110380804,3589.6136,2557.7651,TRUE,micro,interpolation
PLW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,2021,East Asia & Pacific,EAP,Papua New Guinea,PNG,2019,national,,,,consumption,,,2.89,0.4495,0.1797,0.097,0.2729,4.2632,3.2157,,,,,,,,,,,,,,,2.6999,9542486,2590.4942,,TRUE,micro,extrapolation
POL,2021,Europe & Central Asia,ECA,Poland,POL,2019,national,,,,consumption,,,2.083,0,0,0,0,20.4993,17.2409,,,,,,,,,,,,,,,1.8423,37965475,15053.2394,8818.639,FALSE,micro,survey
